-----------------------------------------------------------------------------
Log file opened:
21-01-2020	14:14:29
Logfile started...
INFO | Packfile: Supported archive types.
INFO | Packfile: [ ZIP ] : [ PkZip/WinZip/Info-Zip compatible ]
INFO | Packfile: [ 7Z ] : [ 7zip archives ]
INFO | Packfile: [ GRP ] : [ Build engine Groupfile format ]
INFO | Packfile: [ PAK ] : [ Quake I/II format ]
INFO | Packfile: [ HOG ] : [ Descent I/II HOG file format ]
INFO | Packfile: [ MVL ] : [ Descent II Movielib format ]
INFO | Packfile: [ WAD ] : [ DOOM engine format ]
INFO | Packfile: [ SLB ] : [ I-War / Independence War Slab file ]
INFO | Packfile: [ ISO ] : [ ISO9660 image file ]
INFO | Packfile: [ VDF ] : [ Gothic I/II engine format ]
INFO | Allegro version [ 5.2.6 ( 0 ) ]
INFO | Script [ english.sc ]
INFO | Script [ german.sc ]
INFO | Script [ gui.sc ]
INFO | Script [ italian.sc ]
INFO | Script [ language.sc ]
INFO | Script [ particles.sc ]
INFO | Script [ resources.sc ]
INFO | Script [ transfer.sc ]
INFO | Script: Scriptengine started.
INFO | Script: ScriptEngine version - [ 2.32.0 ]
INFO | Script: Options - [  AS_64BIT_PTR AS_LINUX AS_X64_GCC  ]
INFO | Script: Registered variable - [ int quitProgram ]
INFO | Script: Registered variable - [ bool initResourcesAllDone ]
INFO | Script: Registered variable - [ int currentLanguage ]
INFO | Script: Registered variable - [ float wayPointDestinationSize ]
INFO | Script: Registered variable - [ float shipDamping ]
INFO | Script: Registered variable - [ float playerRadius ]
INFO | Script: Registered variable - [ float playerFriction ]
INFO | Script: Registered variable - [ float playerElastic ]
INFO | Script: Registered variable - [ float pixelsPerMeter ]
INFO | Script: Registered variable - [ float playerAcceleration ]
INFO | Script: Registered variable - [ float playerMaxSpeed ]
INFO | Script: Registered variable - [ float gravity ]
INFO | Script: Registered variable - [ float doorAnimSpeed ]
INFO | Script: Registered variable - [ float sideviewDrawScaleScript ]
INFO | Script: Registered variable - [ float droidAnimateSpeed ]
INFO | Script: Registered variable - [ float badHealthFactor ]
INFO | Script: Registered variable - [ int collisionExplosionDamage ]
INFO | Script: Registered variable - [ int collisionDamageInflicted ]
INFO | Script: Registered variable - [ float explodeAnimateSpeed ]
INFO | Script: Registered variable - [ float bulletAnimSpeed ]
INFO | Script: Registered variable - [ float bulletMoveSpeed ]
INFO | Script: Registered variable - [ float bulletDensity ]
INFO | Script: Registered variable - [ float healingAnimSpeed ]
INFO | Script: Registered variable - [ bool showDebugPhysics ]
INFO | Script: Registered variable - [ int logicalWidth ]
INFO | Script: Registered variable - [ int logicalHeight ]
INFO | Script: Registered variable - [ float droidBeenShotValue ]
INFO | Script: Registered variable - [ int splashTimeout ]
INFO | Script: Registered variable - [ int currentGUIScreen ]
INFO | Script: Registered variable - [ int currentObjectSelected ]
INFO | Script: Registered variable - [ bool isGUIStarted ]
INFO | Script: Registered variable - [ bool fullScreen ]
INFO | Script: Registered variable - [ int screenType ]
INFO | Script: Registered variable - [ float introScrollBoxStartX ]
INFO | Script: Registered variable - [ float introScrollBoxStartY ]
INFO | Script: Registered variable - [ float introScrollBoxWidth ]
INFO | Script: Registered variable - [ float introScrollBoxHeight ]
INFO | Script: Registered variable - [ float introScrollBoxSpeed ]
INFO | Script: Registered variable - [ float introScrollBoxGapSize ]
INFO | Script: Registered variable - [ float introScrollBoxBackRed ]
INFO | Script: Registered variable - [ float introScrollBoxBackGreen ]
INFO | Script: Registered variable - [ float introScrollBoxBackBlue ]
INFO | Script: Registered variable - [ float introScrollBoxBackAlpha ]
INFO | Script: Registered variable - [ float introScrollBoxRadius ]
INFO | Script: Registered variable - [ float introScrollBoxFontRed ]
INFO | Script: Registered variable - [ float introScrollBoxFontGreen ]
INFO | Script: Registered variable - [ float introScrollBoxFontBlue ]
INFO | Script: Registered variable - [ float introScrollBoxFontAlpha ]
INFO | Script: Registered variable - [ float databaseScrollBoxStartX ]
INFO | Script: Registered variable - [ float databaseScrollBoxStartY ]
INFO | Script: Registered variable - [ float databaseScrollBoxWidth ]
INFO | Script: Registered variable - [ float databaseScrollBoxHeight ]
INFO | Script: Registered variable - [ float databaseScrollBoxSpeed ]
INFO | Script: Registered variable - [ float databaseScrollBoxGapSize ]
INFO | Script: Registered variable - [ float databaseScrollBoxBackRed ]
INFO | Script: Registered variable - [ float databaseScrollBoxBackGreen ]
INFO | Script: Registered variable - [ float databaseScrollBoxBackBlue ]
